timestamp,sensor_id,sensor_type,value,unit,location
2025-10-05T12:57:41.893587+05:30,gas_001,gas_sensor,normal_gas,state,field_1
2025-10-05T12:57:41.904236+05:30,temp_001,soil_temp_sensor,28.19,celsius,field_1
2025-10-05T12:57:41.926176+05:30,moist_001,moisture_sensor,0.0,percent,field_1
2025-10-05T12:57:41.938116+05:30,ph_001,ph_sensor,9.17,pH,field_1
2025-10-05T12:57:41.976027+05:30,light_001,light_sensor,light,state,field_1
2025-10-05T12:57:41.982005+05:30,temp_002,air_temp_sensor,27.4,celsius,field_1
2025-10-05T12:57:41.982163+05:30,moist_002,air_hum_sensor,64.5,percent,field_1
2025-10-05T12:58:27.936105+05:30,gas_001,gas_sensor,normal_gas,state,field_1
2025-10-05T12:58:27.939716+05:30,temp_001,soil_temp_sensor,28.19,celsius,field_1
2025-10-05T12:58:27.943602+05:30,moist_001,moisture_sensor,0.0,percent,field_1
2025-10-05T12:58:27.953208+05:30,ph_001,ph_sensor,9.14,pH,field_1
2025-10-05T12:58:27.964650+05:30,light_001,light_sensor,light,state,field_1
2025-10-05T12:58:27.976277+05:30,temp_002,air_temp_sensor,27.3,celsius,field_1
2025-10-05T12:58:27.987772+05:30,moist_002,air_hum_sensor,64.9,percent,field_1
2025-10-05T12:58:50.915781+05:30,gas_001,gas_sensor,normal_gas,state,field_1
2025-10-05T12:58:50.939006+05:30,temp_001,soil_temp_sensor,28.19,celsius,field_1
2025-10-05T12:58:50.955196+05:30,moist_001,moisture_sensor,0.0,percent,field_1
2025-10-05T12:58:50.959526+05:30,ph_001,ph_sensor,9.21,pH,field_1
2025-10-05T12:58:51.037662+05:30,light_001,light_sensor,light,state,field_1
2025-10-05T12:58:51.057008+05:30,temp_002,air_temp_sensor,27.3,celsius,field_1
2025-10-05T12:58:51.057228+05:30,moist_002,air_hum_sensor,65.2,percent,field_1
2025-10-05T12:59:37.027634+05:30,gas_001,gas_sensor,normal_gas,state,field_1
2025-10-05T12:59:37.041211+05:30,temp_001,soil_temp_sensor,28.12,celsius,field_1
2025-10-05T12:59:37.060296+05:30,moist_001,moisture_sensor,0.0,percent,field_1
2025-10-05T12:59:37.074046+05:30,ph_001,ph_sensor,9.16,pH,field_1
